NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 4 73
2 64 21
3 31 50
4 6 14
5 6 75
6 29 28
7 12 85
8 90 70
9 4 63
10 12 91
11 22 5
12 71 50
13 88 79
14 82 59
15 69 73
16 65 17
17 1 84
18 96 60
19 11 92
20 21 14
21 30 27
22 23 64
23 71 98
24 52 83
25 83 40
26 57 49
27 12 22
28 72 47
29 75 54
30 100 94
31 83 20
32 77 53
33 8 10
34 46 9
35 3 66
36 89 89
37 27 40
38 89 3
39 7 89
40 48 41
41 35 7
42 5 45
43 59 13
44 9 65
45 22 82
46 48 27
47 88 89
48 77 40
49 10 25
50 69 71
EOF
