NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 48 48
2 22 52
3 97 66
4 57 49
5 37 56
6 13 75
7 10 70
8 21 23
9 5 98
10 1 37
11 70 64
12 41 77
13 4 66
14 13 23
15 17 42
16 44 19
17 27 72
18 17 28
19 75 57
20 9 43
21 92 13
22 58 82
23 85 51
24 87 54
25 3 61
26 15 94
27 84 15
28 61 65
29 33 48
30 50 78
31 51 25
32 87 0
33 67 62
34 57 95
35 49 40
36 86 73
37 7 80
38 24 90
39 31 7
40 11 78
41 64 31
42 15 100
43 50 89
44 100 40
45 14 15
46 93 99
47 41 49
48 76 5
49 91 31
50 83 61
EOF
