NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 25 74
2 97 6
3 40 24
4 86 14
5 23 28
6 28 63
7 55 35
8 99 47
9 98 66
10 57 98
11 85 3
12 45 19
13 36 48
14 38 0
15 3 15
16 70 11
17 5 59
18 78 76
19 8 100
20 61 2
21 97 76
22 70 90
23 5 66
24 90 66
25 70 20
26 83 87
27 90 49
28 47 37
29 88 94
30 34 23
31 28 5
32 95 81
33 83 100
34 35 88
35 82 68
36 90 84
37 74 23
38 23 7
39 45 48
40 41 92
41 96 17
42 48 79
43 58 65
44 43 86
45 15 44
46 3 53
47 7 14
48 72 67
49 30 54
50 41 96
EOF
