NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 41 14
2 77 23
3 58 85
4 20 79
5 34 34
6 22 17
7 22 21
8 79 93
9 66 34
10 80 6
11 9 73
12 22 12
13 67 86
14 44 42
15 17 26
16 68 91
17 68 46
18 60 41
19 71 49
20 100 3
21 12 88
22 82 42
23 79 36
24 75 11
25 32 35
26 31 57
27 58 33
28 24 15
29 21 9
30 84 63
31 46 39
32 89 8
33 1 22
34 88 7
35 70 64
36 43 39
37 6 4
38 52 47
39 8 67
40 96 91
41 31 62
42 75 42
43 62 16
44 45 68
45 85 96
46 51 98
47 49 31
48 87 85
49 42 5
50 37 44
EOF
