NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 5 2
2 87 28
3 41 60
4 75 20
5 80 28
6 17 54
7 97 3
8 97 66
9 83 81
10 52 18
11 2 95
12 78 88
13 63 40
14 56 83
15 81 40
16 89 96
17 56 33
18 97 67
19 24 53
20 10 94
21 1 88
22 89 88
23 57 90
24 96 69
25 78 52
26 28 11
27 31 92
28 31 34
29 45 26
30 39 18
31 63 68
32 49 99
33 59 40
34 90 76
35 37 16
36 61 21
37 9 19
38 66 3
39 84 70
40 40 31
41 61 24
42 34 47
43 33 1
44 68 25
45 24 24
46 42 54
47 25 78
48 10 41
49 12 74
50 67 52
EOF
