NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 29 30
2 57 22
3 50 96
4 72 42
5 36 45
6 9 67
7 68 12
8 95 98
9 47 35
10 33 8
11 42 50
12 24 70
13 65 82
14 31 72
15 32 85
16 75 31
17 96 94
18 44 63
19 30 55
20 58 54
21 95 64
22 86 37
23 67 64
24 20 15
25 63 0
26 85 13
27 24 17
28 46 87
29 32 16
30 2 45
31 95 80
32 91 20
33 46 86
34 99 92
35 7 21
36 96 45
37 11 71
38 19 93
39 55 84
40 31 26
41 35 22
42 21 29
43 34 0
44 68 31
45 38 67
46 85 12
47 61 29
48 26 21
49 0 42
50 4 9
EOF
