NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 96 14
2 6 93
3 64 75
4 48 65
5 46 92
6 35 11
7 82 99
8 86 20
9 32 31
10 85 49
11 14 50
12 73 13
13 83 88
14 10 81
15 11 83
16 55 59
17 18 27
18 2 84
19 59 70
20 56 47
21 54 85
22 68 40
23 1 14
24 88 22
25 37 55
26 83 5
27 82 89
28 9 90
29 55 96
30 4 9
31 17 48
32 76 45
33 81 45
34 75 62
35 0 20
36 88 56
37 61 23
38 3 27
39 91 55
40 63 10
41 59 15
42 37 78
43 23 2
44 34 7
45 20 87
46 82 51
47 29 81
48 60 79
49 87 44
50 42 41
EOF
