NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 73 74
2 84 59
3 17 99
4 94 20
5 65 89
6 47 32
7 85 60
8 11 93
9 23 4
10 32 92
11 85 96
12 35 84
13 27 98
14 79 43
15 34 51
16 97 72
17 99 11
18 5 65
19 22 29
20 41 50
21 28 0
22 46 40
23 97 89
24 13 53
25 78 82
26 53 94
27 79 95
28 35 3
29 97 91
30 29 74
31 22 66
32 92 34
33 4 68
34 50 7
35 79 17
36 26 69
37 98 44
38 14 81
39 94 61
40 13 78
41 76 21
42 69 51
43 45 72
44 48 91
45 19 36
46 38 98
47 27 70
48 43 78
49 73 77
50 81 94
EOF
