NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 26 60
2 52 52
3 94 33
4 9 8
5 61 33
6 86 49
7 59 41
8 66 85
9 73 77
10 18 6
11 31 19
12 88 17
13 8 91
14 92 72
15 31 53
16 34 43
17 40 92
18 100 60
19 66 25
20 5 52
21 56 1
22 64 35
23 13 87
24 22 58
25 91 33
26 6 72
27 12 39
28 57 31
29 83 54
30 72 51
31 69 35
32 3 2
33 36 14
34 86 44
35 52 18
36 89 8
37 48 96
38 52 85
39 70 14
40 61 9
41 64 53
42 33 12
43 86 64
44 1 35
45 12 29
46 33 88
47 73 93
48 90 78
49 100 74
50 81 2
EOF
