NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 26 20
2 75 64
3 84 23
4 84 15
5 57 64
6 14 35
7 12 45
8 49 71
9 90 89
10 49 66
11 98 76
12 73 12
13 37 90
14 79 34
15 28 31
16 13 24
17 49 84
18 26 28
19 45 54
20 57 77
21 3 11
22 50 42
23 77 52
24 57 28
25 70 67
26 39 36
27 85 46
28 72 90
29 83 15
30 18 38
31 3 18
32 9 72
33 43 10
34 76 62
35 14 3
36 94 87
37 2 26
38 13 62
39 76 78
40 89 47
41 90 63
42 0 92
43 22 38
44 38 29
45 83 62
46 41 26
47 88 88
48 80 54
49 48 67
50 74 66
EOF
