NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 86 7
2 10 36
3 1 34
4 81 32
5 69 96
6 18 14
7 75 39
8 12 62
9 86 64
10 76 23
11 44 6
12 22 69
13 77 65
14 61 9
15 54 96
16 89 81
17 23 65
18 99 70
19 77 20
20 23 90
21 98 92
22 33 100
23 38 57
24 25 99
25 12 13
26 59 57
27 13 24
28 97 40
29 70 86
30 57 66
31 52 30
32 15 98
33 30 16
34 40 19
35 73 98
36 38 18
37 12 77
38 44 76
39 60 10
40 55 67
41 27 87
42 82 10
43 98 4
44 19 92
45 54 99
46 67 45
47 85 51
48 12 77
49 20 88
50 26 48
EOF
