NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 47 75
2 26 91
3 9 24
4 24 54
5 60 75
6 29 86
7 52 25
8 19 9
9 78 51
10 7 45
11 48 22
12 28 48
13 9 38
14 42 63
15 52 22
16 50 76
17 90 52
18 41 30
19 37 43
20 3 19
21 80 49
22 11 58
23 18 55
24 24 34
25 49 52
26 16 76
27 59 95
28 23 74
29 61 76
30 66 77
31 26 15
32 54 26
33 51 88
34 59 19
35 24 65
36 68 3
37 23 71
38 84 2
39 47 37
40 9 29
41 89 100
42 62 95
43 85 85
44 14 44
45 60 56
46 56 75
47 14 54
48 81 46
49 11 88
50 27 75
EOF
