NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1 54
2 73 20
3 11 96
4 98 53
5 72 20
6 76 83
7 34 90
8 29 9
9 90 61
10 96 59
11 51 53
12 93 95
13 76 10
14 83 84
15 40 56
16 8 55
17 23 72
18 61 82
19 75 16
20 16 80
21 77 1
22 82 16
23 77 95
24 49 95
25 73 17
26 17 96
27 40 17
28 48 12
29 53 35
30 56 12
31 84 21
32 30 89
33 74 46
34 18 100
35 5 94
36 77 93
37 43 9
38 24 42
39 38 21
40 60 15
41 30 0
42 15 9
43 31 23
44 16 2
45 43 10
46 45 76
47 45 81
48 36 91
49 37 32
50 9 69
EOF
