NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 52 31
2 19 68
3 95 24
4 44 74
5 96 65
6 48 61
7 97 51
8 56 12
9 58 21
10 78 48
11 40 3
12 74 58
13 15 1
14 40 32
15 53 41
16 57 11
17 0 71
18 100 4
19 52 15
20 55 6
21 58 7
22 71 36
23 19 62
24 32 0
25 57 92
26 40 90
27 25 86
28 34 75
29 57 99
30 8 43
31 10 77
32 18 77
33 27 41
34 8 63
35 19 67
36 91 83
37 81 53
38 21 94
39 55 47
40 74 49
41 47 6
42 51 57
43 15 68
44 6 13
45 29 64
46 45 65
47 69 100
48 97 42
49 33 73
50 2 52
51 17 89
52 78 83
53 66 77
54 83 57
55 44 67
56 35 76
57 20 53
58 89 22
59 52 75
60 81 80
61 42 90
62 14 82
63 44 94
64 56 77
65 43 99
66 58 85
67 28 84
68 19 78
69 26 9
70 71 32
71 62 6
72 39 81
73 48 68
74 68 50
75 63 70
76 82 74
77 45 8
78 86 83
79 61 65
80 51 59
81 48 64
82 13 21
83 2 12
84 57 32
85 33 11
86 27 58
87 81 77
88 52 33
89 43 68
90 91 30
91 80 10
92 71 62
93 15 80
94 60 3
95 99 35
96 55 90
97 63 32
98 22 79
99 83 11
100 31 79
EOF
