NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 97 27
2 21 88
3 28 70
4 46 90
5 62 94
6 28 23
7 67 11
8 22 5
9 85 4
10 84 56
11 1 35
12 5 61
13 24 32
14 25 81
15 12 89
16 49 65
17 60 27
18 82 42
19 28 25
20 40 23
21 91 99
22 82 69
23 57 99
24 61 58
25 40 43
26 69 76
27 64 42
28 51 45
29 8 48
30 93 87
31 61 4
32 47 65
33 87 31
34 51 11
35 29 92
36 27 91
37 12 38
38 30 14
39 73 77
40 14 7
41 74 89
42 57 40
43 99 52
44 77 34
45 25 83
46 5 73
47 66 46
48 5 46
49 80 84
50 72 80
51 76 9
52 13 25
53 96 30
54 55 23
55 76 76
56 52 14
57 22 37
58 57 51
59 81 54
60 76 73
61 29 57
62 5 52
63 8 19
64 69 25
65 21 95
66 99 82
67 16 84
68 76 61
69 48 62
70 98 37
71 62 30
72 75 18
73 56 23
74 58 67
75 63 35
76 52 49
77 54 4
78 23 33
79 72 28
80 2 19
81 54 65
82 21 14
83 0 12
84 3 82
85 55 93
86 53 7
87 39 68
88 38 26
89 94 23
90 67 68
91 80 89
92 41 87
93 1 22
94 20 55
95 79 37
96 72 74
97 4 51
98 95 12
99 9 2
100 48 93
EOF
