NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 70 17
2 31 79
3 92 45
4 7 18
5 53 17
6 85 14
7 77 22
8 9 6
9 57 34
10 90 36
11 37 13
12 57 83
13 84 26
14 67 82
15 25 32
16 73 89
17 78 94
18 80 23
19 54 70
20 66 95
21 51 81
22 52 55
23 7 21
24 93 36
25 75 64
26 97 65
27 99 63
28 80 34
29 79 53
30 99 72
31 64 75
32 90 6
33 38 84
34 97 81
35 63 13
36 75 85
37 51 64
38 52 78
39 29 61
40 14 50
41 13 76
42 2 20
43 72 99
44 54 78
45 74 26
46 3 28
47 20 63
48 47 54
49 71 89
50 35 57
51 62 81
52 82 85
53 37 98
54 28 87
55 41 21
56 85 69
57 50 77
58 50 93
59 92 27
60 66 6
61 74 90
62 4 13
63 3 26
64 26 18
65 12 59
66 88 26
67 47 48
68 26 34
69 2 98
70 93 16
71 44 65
72 90 24
73 56 50
74 46 34
75 56 37
76 47 41
77 99 66
78 42 15
79 93 6
80 93 59
81 52 35
82 10 78
83 65 78
84 7 30
85 36 1
86 85 86
87 40 48
88 47 73
89 75 10
90 0 76
91 17 78
92 72 39
93 71 89
94 22 93
95 37 25
96 38 77
97 98 58
98 83 12
99 54 96
100 39 0
EOF
