NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 48 83
2 64 8
3 12 77
4 43 35
5 54 92
6 17 93
7 83 84
8 19 97
9 33 9
10 6 49
11 37 50
12 68 50
13 61 89
14 91 86
15 57 81
16 68 74
17 96 28
18 10 37
19 88 100
20 49 84
21 47 3
22 28 75
23 27 87
24 42 61
25 16 88
26 17 47
27 20 47
28 86 68
29 23 66
30 100 11
31 4 16
32 56 82
33 79 90
34 62 86
35 75 26
36 62 96
37 87 61
38 30 3
39 24 78
40 50 2
41 96 87
42 49 58
43 14 11
44 29 24
45 10 76
46 57 30
47 94 81
48 53 18
49 22 87
50 23 40
51 23 15
52 37 13
53 9 98
54 21 45
55 13 6
56 31 30
57 47 1
58 16 4
59 35 8
60 15 79
61 47 71
62 82 92
63 76 72
64 76 94
65 32 93
66 5 61
67 64 3
68 6 4
69 67 55
70 47 55
71 72 3
72 52 46
73 25 2
74 0 52
75 49 57
76 78 51
77 67 85
78 76 42
79 35 96
80 27 35
81 73 38
82 44 2
83 98 95
84 32 72
85 68 71
86 9 16
87 26 30
88 35 86
89 61 51
90 83 2
91 25 56
92 84 80
93 53 37
94 50 27
95 1 9
96 4 64
97 24 65
98 9 41
99 35 81
100 43 86
EOF
