NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 44 6
2 10 58
3 41 45
4 69 15
5 47 91
6 88 5
7 4 55
8 8 6
9 31 94
10 58 85
11 84 47
12 40 36
13 14 96
14 40 18
15 78 87
16 92 28
17 88 68
18 30 57
19 20 81
20 4 8
21 86 27
22 86 58
23 97 52
24 15 40
25 100 21
26 65 20
27 86 69
28 19 43
29 62 71
30 88 28
31 44 54
32 82 52
33 15 69
34 51 74
35 61 39
36 33 50
37 71 95
38 15 43
39 16 98
40 13 28
41 22 22
42 34 49
43 4 73
44 24 52
45 58 19
46 4 17
47 82 4
48 81 37
49 59 82
50 82 87
51 46 27
52 81 41
53 79 4
54 67 2
55 40 81
56 58 50
57 39 0
58 51 20
59 81 98
60 77 17
61 44 39
62 78 77
63 88 68
64 21 22
65 93 19
66 27 90
67 7 23
68 57 64
69 82 31
70 75 15
71 37 49
72 5 18
73 50 89
74 11 7
75 78 10
76 63 1
77 66 34
78 65 16
79 58 7
80 55 53
81 42 23
82 62 55
83 87 91
84 61 60
85 20 96
86 39 87
87 92 49
88 38 58
89 79 13
90 49 76
91 63 22
92 6 28
93 87 4
94 67 75
95 58 15
96 38 38
97 52 21
98 82 0
99 69 27
100 31 81
EOF
