NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 85 8
2 90 69
3 76 97
4 72 22
5 74 58
6 61 51
7 65 29
8 1 97
9 7 2
10 68 10
11 24 56
12 85 41
13 34 38
14 65 42
15 68 99
16 11 86
17 78 24
18 30 64
19 57 82
20 99 82
21 47 74
22 48 63
23 76 21
24 35 71
25 63 66
26 25 48
27 29 23
28 75 43
29 68 2
30 83 25
31 84 72
32 17 27
33 19 37
34 56 41
35 96 39
36 62 3
37 14 13
38 0 66
39 16 84
40 25 75
41 64 19
42 12 59
43 55 15
44 16 72
45 15 100
46 63 34
47 32 9
48 30 2
49 50 92
50 51 48
51 5 93
52 45 58
53 0 56
54 17 26
55 16 18
56 76 92
57 10 47
58 50 25
59 13 79
60 12 55
61 88 48
62 60 5
63 64 62
64 53 95
65 31 13
66 27 58
67 8 4
68 61 44
69 28 82
70 93 80
71 98 26
72 22 95
73 90 81
74 99 7
75 80 57
76 12 48
77 15 10
78 10 51
79 92 35
80 62 90
81 3 88
82 54 55
83 4 54
84 14 10
85 11 66
86 23 83
87 20 1
88 72 94
89 55 64
90 46 37
91 82 14
92 7 3
93 86 63
94 3 41
95 82 79
96 67 18
97 14 24
98 32 39
99 36 8
100 37 96
EOF
