NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 52 73
2 40 76
3 28 50
4 83 46
5 9 26
6 4 27
7 16 68
8 68 53
9 65 99
10 40 44
11 49 20
12 58 21
13 30 87
14 31 62
15 37 13
16 34 88
17 22 14
18 46 83
19 95 80
20 93 77
21 48 9
22 93 67
23 62 88
24 65 23
25 41 37
26 72 39
27 35 53
28 47 56
29 18 75
30 73 1
31 96 1
32 1 70
33 59 81
34 60 92
35 28 20
36 16 40
37 6 70
38 66 50
39 33 61
40 72 15
41 65 14
42 8 4
43 18 59
44 62 44
45 84 56
46 7 69
47 61 35
48 46 38
49 78 16
50 34 21
51 25 76
52 33 87
53 21 52
54 30 23
55 31 35
56 35 38
57 56 23
58 35 88
59 12 37
60 19 70
61 79 28
62 61 66
63 72 17
64 89 70
65 35 49
66 4 35
67 54 79
68 17 3
69 35 29
70 57 56
71 73 38
72 60 12
73 27 9
74 28 44
75 34 81
76 65 27
77 99 47
78 33 21
79 15 28
80 13 38
81 22 39
82 14 56
83 66 38
84 84 60
85 22 21
86 49 47
87 88 64
88 62 56
89 10 45
90 100 6
91 77 31
92 12 52
93 90 50
94 83 47
95 11 44
96 37 61
97 60 12
98 23 76
99 47 70
100 52 55
EOF
