NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 65 100
2 27 90
3 1 27
4 41 4
5 41 47
6 54 21
7 1 55
8 92 19
9 81 66
10 4 25
11 42 54
12 39 82
13 72 26
14 54 86
15 38 12
16 18 66
17 86 39
18 68 26
19 58 16
20 76 96
21 0 32
22 91 15
23 73 62
24 38 90
25 9 53
26 88 33
27 17 5
28 66 12
29 99 14
30 72 43
31 73 8
32 65 90
33 71 6
34 11 88
35 74 79
36 49 100
37 76 52
38 3 36
39 5 45
40 11 99
41 29 17
42 78 93
43 15 83
44 69 93
45 50 58
46 42 4
47 66 35
48 39 16
49 85 93
50 95 27
51 25 86
52 55 28
53 12 45
54 72 5
55 6 79
56 99 76
57 23 18
58 20 34
59 49 98
60 79 90
61 18 57
62 67 49
63 33 14
64 93 49
65 76 30
66 92 64
67 4 98
68 0 64
69 60 48
70 76 92
71 87 99
72 99 47
73 35 63
74 76 83
75 66 79
76 66 97
77 0 43
78 93 88
79 84 92
80 17 8
81 8 88
82 78 52
83 29 83
84 68 69
85 76 11
86 58 42
87 43 9
88 17 44
89 74 8
90 99 26
91 32 46
92 19 88
93 27 64
94 52 52
95 84 26
96 59 21
97 69 57
98 37 5
99 77 7
100 23 75
EOF
