NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 11 66
2 59 45
3 48 24
4 57 82
5 28 42
6 83 57
7 23 14
8 5 85
9 69 65
10 46 78
11 68 31
12 62 23
13 52 58
14 13 93
15 18 49
16 29 80
17 85 68
18 48 32
19 98 45
20 60 7
21 80 82
22 90 36
23 17 50
24 21 57
25 76 54
26 81 47
27 21 55
28 7 74
29 86 34
30 99 54
31 3 30
32 63 84
33 94 91
34 16 65
35 0 15
36 6 18
37 5 86
38 18 33
39 37 52
40 56 41
41 71 77
42 3 2
43 66 37
44 45 59
45 28 61
46 40 85
47 5 45
48 53 6
49 89 14
50 3 83
51 97 24
52 86 88
53 63 53
54 97 6
55 16 92
56 0 60
57 38 4
58 51 53
59 8 35
60 79 62
61 69 38
62 90 23
63 5 69
64 71 61
65 84 64
66 72 68
67 87 82
68 3 23
69 89 7
70 85 91
71 39 34
72 63 46
73 82 84
74 43 17
75 79 44
76 57 25
77 28 45
78 18 39
79 60 52
80 88 67
81 67 44
82 53 58
83 36 70
84 28 69
85 71 93
86 76 90
87 37 9
88 81 80
89 14 89
90 90 75
91 11 40
92 33 31
93 84 54
94 82 96
95 15 73
96 6 53
97 94 16
98 94 23
99 54 19
100 56 30
EOF
