NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 57 91
2 56 8
3 76 76
4 76 38
5 69 53
6 63 95
7 33 94
8 85 37
9 87 42
10 63 94
11 39 41
12 7 11
13 3 32
14 41 36
15 92 99
16 14 31
17 50 31
18 38 96
19 100 45
20 61 33
21 88 95
22 63 95
23 35 10
24 54 33
25 64 16
26 61 66
27 30 75
28 67 0
29 34 62
30 2 17
31 51 8
32 82 7
33 93 100
34 73 58
35 95 57
36 91 36
37 66 30
38 98 30
39 83 24
40 10 39
41 63 45
42 81 37
43 13 8
44 90 37
45 40 12
46 54 65
47 36 42
48 77 16
49 82 75
50 46 68
51 16 63
52 36 0
53 100 0
54 44 24
55 4 66
56 91 20
57 26 60
58 62 5
59 19 10
60 66 28
61 14 83
62 7 66
63 12 80
64 97 39
65 67 46
66 84 10
67 20 46
68 99 59
69 48 47
70 45 35
71 50 92
72 80 77
73 85 38
74 93 8
75 89 50
76 19 17
77 16 63
78 43 41
79 85 82
80 16 45
81 95 85
82 21 88
83 0 97
84 18 100
85 77 16
86 48 98
87 3 27
88 51 30
89 76 96
90 62 47
91 84 48
92 72 30
93 81 17
94 5 60
95 50 60
96 11 100
97 17 74
98 27 62
99 64 17
100 41 92
EOF
