NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 16 49
2 96 35
3 13 52
4 14 11
5 27 61
6 17 75
7 74 64
8 80 78
9 80 86
10 98 21
11 36 92
12 56 19
13 16 11
14 9 99
15 85 36
16 20 74
17 51 24
18 22 55
19 9 67
20 9 13
21 36 34
22 32 49
23 15 80
24 67 3
25 65 33
26 37 18
27 37 53
28 59 2
29 62 49
30 6 19
31 95 23
32 61 19
33 77 54
34 82 68
35 32 20
36 41 68
37 100 2
38 46 66
39 14 95
40 15 64
41 33 4
42 24 74
43 60 95
44 25 76
45 13 37
46 39 69
47 91 4
48 27 21
49 80 85
50 83 6
51 54 0
52 19 24
53 1 12
54 29 84
55 35 71
56 83 26
57 22 20
58 32 50
59 20 83
60 94 2
61 7 99
62 1 45
63 16 73
64 2 73
65 62 79
66 56 40
67 55 74
68 23 42
69 14 69
70 94 34
71 88 47
72 29 53
73 53 9
74 38 70
75 31 76
76 17 10
77 99 64
78 35 66
79 36 92
80 73 62
81 60 56
82 4 43
83 49 95
84 74 93
85 57 30
86 98 44
87 60 38
88 13 27
89 36 72
90 93 6
91 83 30
92 64 69
93 74 31
94 21 88
95 75 92
96 55 18
97 82 40
98 37 39
99 23 79
100 28 12
EOF
