NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 78 35
2 25 60
3 5 1
4 60 76
5 86 84
6 84 54
7 35 81
8 55 9
9 22 63
10 26 38
11 63 4
12 96 39
13 44 29
14 89 56
15 13 83
16 93 98
17 47 50
18 5 50
19 45 21
20 99 7
21 89 49
22 18 20
23 77 94
24 86 87
25 24 91
26 61 62
27 41 93
28 87 17
29 20 79
30 97 96
31 37 49
32 62 57
33 49 90
34 100 94
35 1 86
36 97 1
37 42 52
38 74 70
39 36 51
40 12 17
41 1 37
42 30 8
43 99 48
44 28 30
45 48 33
46 97 81
47 79 25
48 57 53
49 54 34
50 33 14
51 72 36
52 81 16
53 76 20
54 8 21
55 52 45
56 84 59
57 75 13
58 74 64
59 28 51
60 32 53
61 72 45
62 55 46
63 62 93
64 2 81
65 27 85
66 15 85
67 27 90
68 65 82
69 62 15
70 30 71
71 35 15
72 27 44
73 96 57
74 88 5
75 57 23
76 10 64
77 58 17
78 77 6
79 12 2
80 68 28
81 53 73
82 48 59
83 98 90
84 5 94
85 37 46
86 1 91
87 89 81
88 40 14
89 95 37
90 24 75
91 82 43
92 73 32
93 25 75
94 42 33
95 17 4
96 81 62
97 52 1
98 29 6
99 37 14
100 30 100
EOF
