NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 24 35
2 24 67
3 75 2
4 45 60
5 20 68
6 97 90
7 43 14
8 33 38
9 37 53
10 38 68
11 34 37
12 66 32
13 99 73
14 1 40
15 69 31
16 95 90
17 10 86
18 47 0
19 79 20
20 87 1
21 25 50
22 8 49
23 3 38
24 39 87
25 58 14
26 31 74
27 54 37
28 87 27
29 46 16
30 86 14
31 47 76
32 96 37
33 49 67
34 51 46
35 60 61
36 30 47
37 76 82
38 27 93
39 17 51
40 14 38
41 99 47
42 16 35
43 13 45
44 44 5
45 92 29
46 90 11
47 90 64
48 8 11
49 48 87
50 36 68
51 7 30
52 19 55
53 90 32
54 40 100
55 78 40
56 91 66
57 30 0
58 68 41
59 75 17
60 99 89
61 43 65
62 52 13
63 19 53
64 85 16
65 32 48
66 76 42
67 10 42
68 4 39
69 14 71
70 31 61
71 19 19
72 36 40
73 7 28
74 89 60
75 77 19
76 57 4
77 60 43
78 26 97
79 57 12
80 55 62
81 0 49
82 41 13
83 79 88
84 95 10
85 59 49
86 53 26
87 69 30
88 51 61
89 75 57
90 67 85
91 39 10
92 17 58
93 51 65
94 96 56
95 67 34
96 55 20
97 66 28
98 70 99
99 32 87
100 54 39
EOF
