NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 18 48
2 80 27
3 77 84
4 34 30
5 20 89
6 6 35
7 79 37
8 15 89
9 61 54
10 79 46
11 28 47
12 87 74
13 82 5
14 15 46
15 35 53
16 37 72
17 56 77
18 71 88
19 12 57
20 52 0
21 16 54
22 70 97
23 9 100
24 21 2
25 64 88
26 76 67
27 83 35
28 14 81
29 45 40
30 47 37
31 90 39
32 13 98
33 57 100
34 99 92
35 44 5
36 81 20
37 47 6
38 2 56
39 51 84
40 30 100
41 24 16
42 81 23
43 57 13
44 27 37
45 66 32
46 97 48
47 45 17
48 75 70
49 35 36
50 23 66
51 43 25
52 29 42
53 66 15
54 42 6
55 39 9
56 10 4
57 42 14
58 6 1
59 89 58
60 28 62
61 33 73
62 43 97
63 71 0
64 47 1
65 88 86
66 76 70
67 88 83
68 80 98
69 26 61
70 97 88
71 3 1
72 91 17
73 72 73
74 44 52
75 27 15
76 14 19
77 74 22
78 68 52
79 3 43
80 57 41
81 46 65
82 29 94
83 67 53
84 60 17
85 82 64
86 98 35
87 33 0
88 28 52
89 71 66
90 30 12
91 75 17
92 72 37
93 85 100
94 85 16
95 33 53
96 95 7
97 42 59
98 31 69
99 25 10
100 2 89
EOF
