NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 8 3
2 95 10
3 33 26
4 69 4
5 12 64
6 40 35
7 33 39
8 3 14
9 38 15
10 80 8
11 96 69
12 93 36
13 49 86
14 82 58
15 95 15
16 65 73
17 35 78
18 44 65
19 65 19
20 90 74
21 35 64
22 33 49
23 13 2
24 41 70
25 87 89
26 84 68
27 22 93
28 80 81
29 30 13
30 75 21
31 45 95
32 45 63
33 33 6
34 63 66
35 51 34
36 45 84
37 93 28
38 31 24
39 77 82
40 47 86
41 11 66
42 38 68
43 84 64
44 52 10
45 77 66
46 21 4
47 13 94
48 67 82
49 93 16
50 92 63
51 91 55
52 27 93
53 42 40
54 38 82
55 30 15
56 57 75
57 71 76
58 16 3
59 87 63
60 54 97
61 10 38
62 51 100
63 26 59
64 6 48
65 96 28
66 74 91
67 57 30
68 72 74
69 69 61
70 91 56
71 62 50
72 30 67
73 61 38
74 49 83
75 26 63
76 49 17
77 82 89
78 70 59
79 61 28
80 64 49
81 70 43
82 77 13
83 91 7
84 36 73
85 15 82
86 0 75
87 66 80
88 17 8
89 76 34
90 76 52
91 92 49
92 83 19
93 81 10
94 84 32
95 3 81
96 10 65
97 59 37
98 24 100
99 27 71
100 15 44
EOF
