NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 46 18
2 22 86
3 21 16
4 79 19
5 60 94
6 25 60
7 94 15
8 57 8
9 28 85
10 84 13
11 59 48
12 98 87
13 69 72
14 0 8
15 41 20
16 44 5
17 82 86
18 42 4
19 8 92
20 81 44
21 42 8
22 37 48
23 86 2
24 51 79
25 96 70
26 60 0
27 66 0
28 86 31
29 28 42
30 44 33
31 48 94
32 36 48
33 89 15
34 45 71
35 34 16
36 29 100
37 3 12
38 57 2
39 40 77
40 52 92
41 55 66
42 9 43
43 88 34
44 34 20
45 62 75
46 99 31
47 19 66
48 94 97
49 86 14
50 33 24
51 85 68
52 88 38
53 10 73
54 18 5
55 93 72
56 5 69
57 8 58
58 9 1
59 12 90
60 76 31
61 60 14
62 46 68
63 26 37
64 91 64
65 63 79
66 67 70
67 87 35
68 19 41
69 19 44
70 79 52
71 17 47
72 15 49
73 87 23
74 3 70
75 74 28
76 83 73
77 99 66
78 91 95
79 82 53
80 83 14
81 56 25
82 89 11
83 24 26
84 71 57
85 20 35
86 17 71
87 94 51
88 5 53
89 49 74
90 13 42
91 28 9
92 58 6
93 76 25
94 72 21
95 20 15
96 77 27
97 37 86
98 37 9
99 8 13
100 0 37
EOF
