NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 65 23
2 77 74
3 66 68
4 83 22
5 31 91
6 80 32
7 45 12
8 99 28
9 16 98
10 49 68
11 20 94
12 97 3
13 20 100
14 12 54
15 25 6
16 90 24
17 69 41
18 11 45
19 76 58
20 43 20
21 97 100
22 50 29
23 1 83
24 15 49
25 87 32
26 54 91
27 11 21
28 76 21
29 51 58
30 33 99
31 8 82
32 26 31
33 18 50
34 4 48
35 58 35
36 61 17
37 44 95
38 2 24
39 69 67
40 19 80
41 52 83
42 62 27
43 35 76
44 45 36
45 7 1
46 91 6
47 92 63
48 86 80
49 60 39
50 65 74
51 43 51
52 77 29
53 62 14
54 17 34
55 22 68
56 42 86
57 62 12
58 82 87
59 91 41
60 76 34
61 82 28
62 42 18
63 33 64
64 34 21
65 70 58
66 87 30
67 28 50
68 42 69
69 47 6
70 89 56
71 50 77
72 6 34
73 38 55
74 59 76
75 66 86
76 34 66
77 72 8
78 93 47
79 67 40
80 6 80
81 47 53
82 76 26
83 62 80
84 16 49
85 51 15
86 82 84
87 96 36
88 48 31
89 99 17
90 54 67
91 38 89
92 65 92
93 49 91
94 3 22
95 59 55
96 76 98
97 49 49
98 44 76
99 53 15
100 48 82
EOF
