NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1 87
2 37 99
3 55 94
4 9 5
5 11 89
6 14 33
7 33 25
8 94 62
9 5 15
10 37 39
11 96 71
12 69 62
13 69 8
14 32 75
15 99 46
16 38 90
17 98 93
18 37 34
19 45 31
20 94 29
21 82 32
22 49 52
23 33 75
24 70 26
25 97 43
26 41 18
27 68 75
28 84 39
29 35 82
30 70 89
31 17 43
32 82 75
33 82 13
34 46 76
35 54 23
36 87 85
37 63 37
38 38 12
39 3 64
40 81 41
41 68 36
42 56 14
43 42 55
44 42 6
45 80 94
46 48 38
47 68 68
48 52 42
49 38 95
50 25 59
51 44 27
52 64 88
53 4 25
54 16 13
55 33 72
56 56 46
57 54 95
58 81 58
59 97 15
60 37 35
61 3 16
62 26 98
63 19 51
64 72 95
65 85 61
66 24 42
67 75 91
68 27 30
69 8 8
70 46 94
71 38 15
72 16 73
73 87 55
74 68 3
75 40 59
76 27 52
77 62 27
78 91 23
79 23 58
80 85 5
81 12 0
82 88 65
83 41 88
84 37 87
85 100 33
86 56 46
87 24 86
88 4 42
89 85 73
90 70 79
91 68 89
92 56 90
93 58 84
94 60 17
95 81 79
96 100 4
97 57 61
98 92 84
99 12 58
100 62 66
EOF
