NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 26 48
2 37 59
3 62 56
4 0 67
5 95 50
6 67 49
7 24 44
8 39 79
9 76 33
10 76 66
11 9 73
12 9 69
13 100 73
14 55 31
15 56 19
16 83 29
17 26 48
18 78 32
19 73 70
20 42 21
21 32 100
22 47 11
23 68 77
24 82 74
25 90 12
26 45 76
27 30 21
28 4 61
29 87 69
30 64 66
31 56 60
32 78 78
33 85 53
34 91 24
35 39 57
36 77 9
37 83 64
38 86 53
39 10 37
40 67 3
41 58 1
42 92 21
43 100 52
44 6 46
45 31 11
46 48 95
47 80 31
48 5 24
49 24 73
50 42 10
51 0 75
52 41 7
53 40 93
54 51 61
55 37 3
56 65 44
57 32 69
58 87 34
59 37 5
60 88 51
61 20 75
62 16 25
63 71 73
64 60 5
65 76 93
66 30 78
67 4 68
68 40 83
69 72 92
70 75 86
71 64 49
72 13 92
73 74 28
74 7 71
75 11 4
76 86 16
77 98 92
78 20 34
79 79 46
80 42 87
81 35 100
82 42 12
83 14 62
84 97 7
85 81 10
86 8 79
87 90 80
88 57 53
89 34 0
90 92 1
91 68 22
92 97 89
93 85 38
94 9 98
95 17 4
96 27 6
97 64 7
98 79 60
99 39 42
100 3 16
EOF
