NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 60 47
2 87 50
3 6 30
4 37 12
5 98 47
6 69 80
7 42 40
8 99 93
9 44 49
10 39 21
11 43 92
12 30 97
13 31 18
14 15 56
15 47 73
16 50 78
17 67 94
18 31 0
19 50 6
20 92 50
21 72 89
22 77 26
23 35 42
24 10 53
25 64 80
26 17 45
27 3 72
28 63 72
29 98 80
30 67 7
31 64 98
32 15 44
33 56 48
34 11 95
35 32 75
36 11 62
37 50 84
38 49 85
39 89 94
40 85 78
41 62 92
42 55 26
43 3 8
44 47 5
45 68 69
46 11 87
47 52 11
48 97 23
49 59 46
50 70 58
EOF
