NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 11 88
2 65 77
3 62 56
4 76 84
5 33 16
6 90 13
7 25 88
8 52 31
9 42 38
10 9 7
11 38 52
12 11 63
13 93 16
14 48 71
15 35 24
16 13 41
17 61 3
18 94 37
19 84 8
20 70 29
21 41 13
22 42 93
23 79 98
24 94 73
25 71 54
26 20 44
27 68 10
28 9 56
29 15 81
30 5 66
31 47 49
32 8 76
33 92 88
34 100 94
35 44 69
36 58 92
37 19 21
38 80 41
39 4 27
40 15 88
41 95 46
42 45 98
43 90 94
44 92 25
45 24 49
46 24 7
47 18 34
48 35 6
49 86 29
50 74 5
EOF
