NAME : auto_generated
COMMENT : Automatically generated TSP instance
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 66 26
2 62 18
3 50 40
4 4 85
5 60 59
6 54 42
7 96 24
8 72 56
9 37 53
10 98 90
11 52 66
12 59 52
13 65 1
14 42 70
15 41 71
16 69 58
17 26 47
18 57 21
19 53 10
20 29 63
21 19 10
22 96 13
23 11 98
24 54 53
25 51 90
26 40 7
27 17 74
28 27 53
29 87 27
30 30 69
31 1 53
32 85 8
33 30 2
34 69 23
35 98 99
36 54 69
37 69 19
38 92 84
39 34 16
40 41 79
41 100 66
42 11 8
43 27 70
44 84 39
45 16 96
46 20 98
47 95 9
48 93 26
49 37 24
50 23 77
EOF
